"a közeli viszontlátásra!","à bientôt!"
"kakas","coq m."
"kagyló","coquillage m."
"halottaskocsi","corbillard m."
"szárítókötél","corde à linge f."
"kötél","corde f."
"zsinór; kötél; kordon","cordon m."
"Korea","Corée f."
"szarv; szaru","corne f."
"folyomány; következmény","corollaire m."
"test; testület","corps m."
"megfelelés; csatlakozás","correspondance f."
"javítás","correction f."
"javít; helyrehoz","corriger"
"elromlás; megvesztegetés","corruption f."
"menet; (dísz)kíséret","cortège m."
"zömök; testes","costaud, -e"
"jelmez","costume m."
"oldal","côtè m."
"sertèsborda","côte de porc f."
"borda","côte f."
"gyapot; pamut","coton m."
"nyak","cou m."
"naplemente","coucher du soleil m."
"könyök","coude m."
"varr","coudre"
"paplan","couette f."
"szín","couleur f."
"folyik; csöpög; csúszik","couler"
"kulissza","coulisse f."
"ütés; csapás; vágás; lökés","coup m."
"bûnös","coupable"
"vág; hasít; félbeszakít","couper"
"emberpár","couple f."
"kupola; boltozat","coupole f."
"bátor","courageux, -euse"
"folyás; ár(amlat); villanyáram","courant m."
"fut","courir"
"napi posta","courrier m."
"árfolyam","cours du change m."
"futás; futam","course f."
"vízfolyás; folyam; árfolyam; tanfolyam; tanóra","cours m."
"lóverseny","course hippique f."
"autóverseny","course d´auto f."
"rövid","court, -e"
"teniszpálya","court de tennis m."
"rövidfilm","court métrage m."
"lányunokatestvér","cousine f."
"fiúunokatestvér","cousin m."
"kés","couteau m."
"kerül vmibe","coûter"
"szokás","coutume f."
"varrás; sebhely","couture f."
"szõrös","couvert de poil"
"takaró; terítõ; fedél","couverture f."
"tarisznyarák","crabe m."
"leköp; hány; fröcsköl","cracher"
"Krakkó","Cracovie f."
"kréta","craie f."
"fél","craindre"
"félelem","crainte f."
"fémkapocs; kullancs","crampon m."
"koponya","crâne m."
"hetvenkedik","crâner"
"kicsapongás; züllés","crapule f."
"nyakkendõ","cravate f."
"ceruza","crayon m."
"bölcsõde","crèche f."
"hitel","crédit m."
"teremt; létrehoz; alkot","créer"
"krém; tejszín","crème f."
"napozókrém","crème solaire f."
"serceg; pattog; ropog","crépiter"
"ás","creuser"
"üreges; odvas; beesett","creux, -euse"
"kiált","crier"
"bûnözõ","criminel, -elle"
"kritizál","critiquer"
"válságos; kritikus","critique"
"kritika; bírálat","critique f."
"kritikus; bíráló","critique m."
"horvát","croate"
"Horvátország","Croate f."
"hisz","croire"
"vázlat","croquis m."
"kenyérvég","croûton m."
"hívõ","croyant, -e"
"hit; bizalom","croyance f."
"nyers","cru, -e"
"keresztre feszítés","crucifixion f."
"kocka","cube m."
"szed","cueillir"
"kanál","cuillère f."
"bõr","cuir m."
"konyha","cuisine f."
"comb","cuisse f."
"alsónadrág","culotte f."
"pap","curé m."
"önéletrajz","curriculum vitae m."
"azaz; vagyis","c´est-à-dire"
"dáma; asszony","dame f."
"kárhoztatás; elítélés","damnation f."
"veszély","danger m."
"-ban; -ben; -ba; -be","dans"
"táncol","danser"
"dátum","date f."
"datolya","datte f."
"párolás","daube f."
"inkább; jobban; tovább","davantage"
"dobókocka; gyûszû","dé m."
"napjainkban","de nos jours"
"-tól; -tõl; -nál; -nél; -nak; -nek","de, d´"
"megszabadít vkitõl; vmitõl","débarasser"
"partra száll; kiszáll","débarquer"
"vitat; tárgyal; megbeszél","débattre"
"vita","débat m."
"dõzsölés; dorbézolás","débauche f."
"kidugaszol; kinyit","déboucher"
"kibogoz; tisztáz","débrouiller"
"kezdet","début m."
"tíz nap","décade f."
"eltolódás","décalage m."
"december","décembre m."
"lejön","decendre"
"évtized","décennie f."
"csalódás; kiábrándulás","déception f."
"megtéveszt; kiábrándít; ámít","décevoir"
"kirakodik","décharger"
"hulladék; törmelék","déchet m."
"elszakad","déchirer"
"döntés","décision f."
"kikiáltás","déclaration f."
"kikapcsol; kilinccsel felnyit; elindít","déclencher"
"felszáll","décoller"
"díszlet","décor m."
"díszít","décorer"
"felfed; fedetlenül hagy; felfedez","découvrir"
"csöpög; folyik; ered; származik","découler"
"leír; ábrázol","decrire"
"felveszi a kagylót","décrocher le téléphone"
"kiakaszt; kiemel; megszerez","décrocher"
"megcsalt; kiábrándult","déçu, -e"
"megvetõ; lenézõ","dédaigneux, -euse"
"megvetés; lenézés","dédain m."
"vereség","défaite f."
"hiány","défaut m."
"kedvezõtlen; rossz; mostoha","défavorable"
"agyar","défense f."
"kihívás","défi m."
"leszed; lefûz; felvonul","défiler"
"divatbemutató","défile de mode m."
"ki-; meg-; felszabadít; szabaddá tesz","dégager"
"megfoszt vmitõl; megdézsmál","dégarnir"
"kár; pusztítás","dégât m."
"kihány; kiönt; kiöblít","dégorger"
"undorít","dégoûter"
"undor; csömör","dégoût m."
"lealacsonyító","dégradant, -e"
"kinagyol; megmunkál","dégrossir"
"megkóstol","déguster"
"már","déja"
"székelés; széklet","déjection f."
"ebéd","déjenuer m."
"megrongált","délabré, -e"
"haladék; halasztás; késedelem","délai m."
"finom","délicieux, -euse"
"elold; kiold; kinyit","délier"
"fiatalkori bûnözés","délinquance juvénile f."
"holnap","demain"
"kér; kérdez","demander"
"elindul","démarrer"
"járás; testtartás; fellépés","démarche f."
"elköltözik","déménager"
"lakik; tartózkodik","demeurer"
"fél","demi m."
"fél liter","demi-litre m."
"demokratikus","démocratique"
"lerombol; tönkretesz","démolir"
"feljelent; leleplez","dénoncer"
"fog","dent f."
"csipke","dentelle f."
"fogkrém","dentifrice m."
"fogorvos","dentiste m."
"vmitõl megfosztott","dénué, -e"
"indulás","départs"
"túlhalad","dépasser"
"leír; lefest","dépeindre"
"költ","dépenser"
"leakaszt; függ","dépendre"
"áthelyez; mozgat","déplacer"
"sajnál; szán","déplorer"
"lemondás; vallomás","déposition f."
"letesz; lerak; letétbe helyez","déposer"
"letét; raktár","dépôt m."
"-tól; -tõl; óta","depuis"
"képviselõ","député m."
"összezavar; elront","déranger"
"megcsúszás; farolás","dérapage m."
"utolsó","dernier, dernière"
"ellop","dérober"
"korlátoz; megcsorbít; derogál","déroger"
"leteker; kiterít; kifejt","dérouler"
"mögé; mögött","derrière"
"vmitõl fogva; óta","dès"
"fürdõszobaszõnyeg","descent de bain f."
"leszáll","descendre de"
"lemenõ; leszálló","descendant, -e"
"leszállás; leereszkedés","descente f."
"leírás","description f."
"sivatag","désert m."
"gyomlál","désherber"
"kíván; óhajt","désirer"
"kívánság; óhaj","désir m."
"szagtalanít","désodorer"
"elszomorít","désoler"
"ezentúl","désormais"
"rendetlenség; zavar","désordre m."
"édesség","dessert m."
"rajzfilm","dessin animé m."
"rajz; rajzolás","dessin m."
"ágytakaró","dessus-de-lit m."
"sors; végzet","destin m."
"torpedóromboló","destroyer m."
"romboló; pusztító","destructeur, -trice"
"elold; leszed; eltérít","détacher"
"rész(let)","détail m."
"birtokol; fogva tart","détenir"
"eltökélt","déterminé, -e"
"meghatározó","déterminant, -e"
"utál","détester"
"dörren; robban","détoner"
"hamisan énekel; játszik","détonner"
"eltérés; kerülõ; kertelés","détour m."
"lekicsinylõ; becsmérlõ; ócsárló","détracteur, -trice"
"kijózanít; kiábrándít","détromper"
"lerombol; elpusztít; irt","détruire"
"gyászolás","deuil m."
"kettõ","deux"
"kirabol; kifoszt","dévaliser"
"leértekel","dévaloriser, dévaluer"
"elé; elõtt","devant"
"megelõz; felülmúl","devancer"
"kibont; kifejleszt","développer"
"fejlett","dévelopé, -e"
"válik vmivé","devenir"
"elhajlás; eltévelyedés","déviation f."
"legombolyít; leteker","dévider"
"jós","devin m."
"kitalál; megjósol","deviner"
"találós kérdés","devinette f."
"jelmondat; jelige; mottó; deviza","devise f."
"kicsavar; lecsavar","dévisser"
"társalog; beszélget","deviser"
"kell; köteles","devoir"
"kötelesség; feladat","devoir m."
"odaadó","dévoué, -e"
"ügyesség; kézügyesség","dextérité f."
"ördög","diable m."
"fejék","diadème m."
"kórisme; diagnózis","diagnose f."
"párbeszéd","dialogue m."
"diktatúra","dictature f."
"diktál","dicter"
"szótár","dictionnaire m."
"tanító; oktató","didactique"
"diéta","diète f."
"isten","dieu m."
"különbözõ","différent, -e"
"elhalaszt; halogat","différer"
"nehéz","difficile"
"adás; sugárzás; szétterjedés","diffusion f."
"emésztés","digestion f."
"méltóság; tekintély","dignité f."
"dilemma","dilemme m."
"buzgalom; sietség","diligence f."
"vasárnap","dimanche m."
"kisebbít; csökkent","diminuer"
"dinamikus","dinamque"
"pulyka; tökfilkó","dindon m."
"vacsora","dîner m."
"mond","dire"
"igazgató(nõ)","directeur, -trice"
"tanszak; fegyelem","discipline f."
"fegyelmezett","discipliné, e"
"tanítvány; követõ","disciple m."
"eltûnik","disparaître"
"elszór; feloszlat","disperser"
"rendelkezésre álló","disponible"
"elrendezés","disposition f."
"lemez","disquette f."
"merevlemez","disque dur m."
"oldás; oldódás; oldat; felbomlás","dissolution f."
"különbözõ","distinct, -e"
"jegyautomata","distributeur automatique m."
"elválaszt; levon; szórakoztat","distraire"
"kézbesít; eloszt","distribuer"
"változó","divers, -e"
"oszt","diviser"
"osztva","divisé par"
"osztó","diviseur m."
"elvált","divorcé, -e"
"tíz","dix"
"tizennyolc","dix-huit"
"tizenkilenc","dix-neuf"
"tizenhét","dix-sept"
"dokk","dock m."
"ujj","doigt m."
"lábujj","doigt de pied m."
"föld(birtok); terület; tartomány","domaine f."
"megszelidít","domestiquer"
"házi; családi; otthoni","domestique"
"otthon; lakcím","domicile m."
"adomány; tehetség","don m."
"tehát","donc"
"vártorony","donjon m."
"ad","donner"
"adat","donnée f."
"akinek a ...","dont"
"alszik","dormir"
"háti","dorsal, -e"
"hát","dos m."
"dózis","dose f."
"vám","douane f."
"vámtiszt","douanier m."
"megkettõz; elõz; szinkronizál","doubler"
"kettõs; dupla","double"
"zuhany","douche f."
"tehetséges","doué, -e"
"fájdalom","douleur f."
"kételkedik","douter de q, qc"
"édes; enyhe; nyugodt; szelíd; puha","doux, douce"
"tizenkettõ","douze"
"sárkány","dragon m."
"lecsapol; felszippant","drainer"
"drámaíró","dramaturge m."
"posztó; szövet; lepedõ","drap m."
"zászló","drapeau m."
"felveri a sátrat","dresser une tente"
"jobb","droit, -e"
"jog; igény; juss","droit m."
"tréfás","drôle"
"sûrû; tömött","dru, -e"
"herceg","duc m."
"párbaj","duel m."
"kemény","dur, -e"
"tart; fennáll","durer"
"vérhas","dysenterie f."
"elõször is; elsõsorban","d´abord"
"egyetértek; rendben","d´accord"
"víz","eau f."
"ásványvíz","eau minérale f."
"vázol; megkezd","ébaucher"
"elkápráztat; elvakít","éberluer"
"mámor","ébriété f."
"pikkely","écaille f."
"eltérés; eltávolodás","écart m."
"minta","échantillon m."
"sál","écharpe m."
"sakk; bukás; sakkjáték tb.","échec m."
"létra; skála; lépték; viszonylat","échelle f."
"visszhang","écho m."
"zátonyra fut","échouer"
"pancsol","éclabousser"
"világítás","éclairage m."
"villám","éclair m."
"nevetésre fakad","éclater de rire"
"szétrobban; kitör; ragyog","éclater"
"óvoda","école maternelle f."
"általános iskola","école primaire f."
"középiskola","école secondaire f."
"kéreg; gyümölcshéj","écorce f."
"földkéreg","écorce terrestre f."
"Skócia","Écosse f."
"hallgat","écouter"
"hallgató","écouteur m."
"ernyõ; vászon; képernyõ","écran m."
"összezúz; eltapos; tönkretesz","écraser"
"ír","écrire"
"írás","écriture f."
"író","écrivain m."
"pajzs; tallér","écu m."
"mókus","écureuil m."
"lóistálló","écurie f."
"kiadás","édition f."
"töröl; radíroz; elfeledtet","effacer"
"okozat; következmény; hatás","effet m."
"hatásos; eredményes","efficace"
"beomlás; összeomlás; mélyszántás","effondrement m."
"erõfeszítés; törekvés","effort m."
"félénk","effrayé, -e"
"tekintet; figyelmesség","égard m."
"eltévedt; zavart","égaré, -e"
"templom","église f."
"Egyiptom","Égypte f."
"feldolgoz; átalakít","élaborer"
"iram; lendület; jávorszarvas","élan m."
"szélesítés; bõvítés","élargissement m."
"elektromosság","électricité f."
"elektromos","électrique"
"választás","élection f."
"elefánt","éléphant m."
"állattenyésztés","élevage m."
"nevel","élever"
"tanuló","élève f. m."
"választ; kijelöl","élire"
"õ n.","elle"
"õk n.","elles"
"kifejezésmód; stílus","élocution f."
"zománc","émail m."
"csomagolás","emballage m."
"csomagol","emballer"
"beszáll","embarquer"
"zavar; zavarodottság","embarras m."
"behajóz; elutazik","embarquer"
"munka","embauche f."
"kövérség","embonpoint m."
"forgalmi dugó","embouteillage m."
"torkolat","embouchure f."
"megölel; megcsókol","embrasser"
"felgyújt; feltüzel","embraser"
"összekuszál; összezavar","embrouiller"
"leshely","embuscade f."
"kiemelkedik; kiválik","émerger"
"kiérdemesült; nyugalmazott","émérite"
"bámulatba ejt","émerveiller"
"kisugároz; kibocsát","émettre"
"zendülés; felkelés","émeute f."
"adás","émission f."
"beköltözik","emménager"
"elvisz; magával visz","emmener"
"megindító; megható","émouvant, -e"
"kitöm","empailler"
"karóba húz","empaler"
"akadályoz; megakadályoz","empêcher de"
"használat; foglalkozás","emploi m."
"alkalmazott","employé m."
"órarend","emploi du temps m."
"kölcsönvesz","emprunter"
"izgatott","ému, -e"
"-ban; -ben; -ba; -be; -on; -en; -ön","en"
"hátra(menet)","en arrière"
"amíg","en attendant que"
"elõre(menet)","en avant"
"lent; lefelé","en bas"
"titokban","en catimini"
"szembe; szemben","en face de"
"fent; felfelé","en haut"
"amellett","en outre"
"mûanyag","en plastique"
"-ból érkezõ","en provenance de"
"vmit figyelembe véve","en raison de qc"
"késésben van","en retard"
"haragszik vkire","en vouloir à q"
"övezet; terem","enceinte f."
"elvarázsol; elbûvöl","enchanter"
"alkalmatlan; terjedelmes","encombrant, -e"
"eltorlaszol; elzár; akadályoz","encombrer"
"még","encore"
"bátorít; támogat","encourager"
"tinta","encre f."
"megkárosít; megrongál","endommager"
"kitartás","endurance f."
"megkeményít","endurcir"
"eltûr; elvisel","endurer"
"energia","énergie f."
"ernyesztõ; bágyasztó","énervant, -e"
"gyerek","enfant m."
"gyerekkor","enfance f."
"gyermeki","enfantin, -e"
"pokol","enfer m."
"átdöf; átszúr","enferrer"
"befûz; átdöf; befordul","enfiler"
"végre","enfin"
"felgyújt; lelkesít","enflammer"
"puffadt; hiú","enflé, -e"
"bever; besüllyeszt","enfoncer"
"elás; elrejt","enfouir"
"alkalmaz; felvesz; elzálogosít","engager"
"ûrhajó","engin spatial m."
"elnyel; felfal","engloutir"
"elzsibbaszt; (meg)dermeszt","engourdir"
"fölemel; felvesz","enlever"
"ellenség","ennemi, -e"
"unalom; bosszúság","ennui m."
"unalmas; kellemetlen; bosszantó","ennuyeux, -euse"
"hatalmas","énorme"
"nyomoz","enquêter"
"utaslista","enregistrement m."
"beiktat; felvesz; elment","enregistrer"
"tanít","enseigner"
"tanító; oktató","enseignant, -e"
"együtt","ensemble"
"halmaz","ensemble m."
"azután","ensuite"
"megszeg; megsért; megkezd","entamer"
"hall; hallgat","entendre"
"temetés","enterrement m."
"olt; beolt","enter"
"lelkes","enthousiaste"
"környezet; kerítés","entourage m."
"körülvesz; körülkerít","entourer"
"edzés","entraînement m."
"elõétel; bejárat","entrée f."
"közé; között","entre"
"fenntart; ellát","entretenir"
"egymásba fon","entrelacer"
"beszélgetés; értekezlet","entretien m."
"félig kinyit","entrouvrir"
"betör; eláraszt","envahir"
"boríték","enveloppe f."
"ellen; iránt; szemben","envers"
"küld; elküld","envoyer"
"megtakarít","épargner"
"szétszór; szétforgácsol","éparpiller"
"váll","épaule f."
"múlékony; efemér","éphémère"
"kérész; tiszavirág","éphémère m."
"fûszer","épice f."
"fûszerbolt","épicerie f."
"spenót","épinard m."
"tüske; tövis","épine f."
"hátgerinc","épine dorsale f."
"gombostû","épingle f."
"püspökség","épiscopat m."
"sírfelirat","épitaphe f."
"szemelget; hámoz","éplucher"
"szivacs","éponge f."
"kor(szak)","époque f."
"hitves; feleség","épouse f."
"madárijesztõ","épouvantail m."
"próba; megpróbáltatás","épreuve f."
"kipróbál; érez","éprouver"
"kimerít; kiszárít; elhasznál","épuiser"
"Egyenlítõ","Equateur m."
"kiegyensúlyozott","équilibré, -e"
"napéjegyenlõség","équinoxe m."
"felszerelés","équipement m."
"csapat; brigád; legénység","équipe f."
"személyzet","équipage m."
"lovaglás","équitation f."
"sarkantyú","ergot m."
"remete","ermite m."
"remetelak","ermitage m."
"erotikus; érzéki","érotique"
"tévedés; hiba","erreur f."
"böfögés","éructation f."
"kitörés","éruption f."
"lépcsõ","escalier m."
"mozgólépcsõ","escalier roulant m."
"mászik","escalader"
"eltüntet; ellop","escamoter"
"meredek","escarpé, -e"
"rabszolgaság","esclavage m."
"rabszolga","esclave m."
"csaló; szélhámos","escroc"
"tér; hely; ûr","espace m."
"Spanyolország","Espagne f."
"faj; fajta; -féle","espèce f."
"remény","espérance f."
"remél","espérer"
"kém","espion, -onne"
"remény(ség)","espoir m."
"lélek; szellem","esprit m."
"vázlat","esquisse f."
"próba; kísérlet","essai m."
"kipróbál; megpróbál; felpróbál","essayer"
"benzin","essence f."
"fejlõdés; nekiindulás","essor m."
"letöröl; törölget; felszárít; elvisel","essuyer"
"kelet","est m."
"gyomor","estomac m."
"tehénistálló","étable f."
"megalapoz; megszilárdít","établir"
"emelet","étage m."
"elárusítópult","étalage m."
"kiakaszt; kiterít; mutogat","étaler"
"tó","étang m."
"állam; állapot; helyzet; életmód","état m."
"USA","Etats-Unis m. pl."
"nyár","été f."
"lámpát olt","éteindre"
"kialudt; megszûnt; kioltott","éteint, -e"
"tüsszög","éternuer"
"szikra","étincelle f."
"felirat; címke","étiquette f."
"csillag","étoile f."
"csodálkozás; bámulat","étonnement f."
"szeles; meggondolatlan","étourdi, -e"
"külföldi; idegen","étranger, -ère"
"van; létezik","être"
"átmegy a vizsgán","être reçu, -e à l´examen"
"formában van","être en forme"
"siker koronázza","être couronné, -é de succès"
"felveszik az egyetemre","être reçu, -e à l´université"
"jól kijön vkivel","être en bon termes avec q"
"elfoglalt","être pris, -e"
"értesült; tájékozott vmirõl","être au courant de qc"
"tehetséges vmiben","être doué, -e pour/en qc"
"hajlamos vmire","être enclins à inf."
"szûk","étroit, -e"
"tanulás","étude f."
"tanul","étudier"
"tanuló(lány)","étudiant, -e"
"Európa","Europe f."
"õk h.","eux"
"kiürít","évacuer"
"párologtatás","évaporation f."
"felébreszt; felkelt","éveiller"
"esemény","événement m."
"püspök","évêque m."
"nyilvánvalóság; bizonyosság","évidence f."
"nyilván(valóan); természetesen","évidemment"
"mosogató","évier m."
"kerül vmit","éviter"
"fejlõdés","évolution f."
"felidéz","évoquer"
"pontos","exact, -e"
"túloz","exagérer"
"vizsga","examen m."
"írásbeli vizsga","examen écrit m."
"szóbeli vizsga","examen oral m."
"megvizsgál","examiner"
"kivétel","exception f."
"izgat","exciter"
"felkiáltás","exclamation f."
"kizár","exclure"
"ürülék; salak","excrément m."
"kirándulás","excursion f."
"megbocsát","excuser"
"végrehajt","exécuter"
"végrehajtás; kivégzés","exécution f."
"példás","exemplaire"
"példa","exemple m."
"példány","exemplaire m."
"gyakorlat","exercice m."
"foglalkozást ûz","exercer un métier"
"kiállítás","exhibition f."
"követel","exiger"
"számûzetés","exil m."
"felmentés; mentesség","exonération f."
"ördögûzés","exorcisme m."
"egzotikus","exotique"
"kiterjedés","expansion f."
"szakmai tapasztalat","expérience professionnelle m."
"megmagyaráz; értelmez; megfejt","expliquer"
"megmûvel; gazdálkodik","exploiter"
"kitermelés; gazdálkodás; felhasználás","exploitation f."
"felrobban","exploser"
"hõstett","exploit m."
"kiállítás","exposition f."
"kicsavar; kifejez","exprimer"
"rendkívüli; különös","extraordinaire"
"kivonat; szemelvény","extrait m."
"szélsõ; végsõ","extrême"
"mese","fable f."
"készít","fabriquer"
"arc(ulat); ábrázat; kép; oldallap","face f."
"mérges","fâché, -e"
"könnyû","facile"
"megformálás; alkotás","façon f."
"megformál","façonner"
"postás","facteur m."
"természettudományi kar","faculté des sciences f."
"bölcsészettudományi kar","faculté des lettres f."
"jogi kar","faculté du droit f."
"íztelen","fade"
"gyenge","faible"
"gyengeség","faiblesse f."
"èhsèg","faim f."
"puszit ad vkinek","faire la bise à"
"csinál; tesz","faire"
"fõz","faire la cuisine"
"mosogat","faire la vaisselle"
"bevásárol","faire les courses"
"piacon vásárol","faire la marché"
"sorban áll","faire la queue"
"kiállít egy csekket","faire un chèque"
"becsomagol","faire sa valise"
"sétál","faire une promenade"
"arat","faire la moisson"
"számol","faire des calculs"
"edz","faire du keepfit"
"kocog","faire du jogging"
"figyelmet fordít","faire attention à qc"
"úgy tesz, mintha","faire semblant de"
"szembenéz a nehézégekkel","faire face aux difficultés"
"legjobbat nyújtja","faire de son mieux"
"kirándul","faire des randonnées f."
"kutatást végez vmirõl","faire des recherches sur qc"
"jót tesz","faire du bien"
"zsarol","faire du chantage"
"utal vmire","faire appel à qc"
"lõ; tüzel","faire feu"
"tett; esemény; tény","fait m."
"napihírek","faits divers"
"kell","falloir"
"híres; nevezetes","fameux, -euse"
"család","famille f."
"liszt","farine f."
"unalmas; egyhangú","fastidieux, -euse"
"pompás; fényûzõ","fastueux, -euse"
"végzetes","fatal, -e"
"fáradtság","fatigue f."
"lekaszál","faucher"
"fércel","faufiler"
"fotel","fauteuil m."
"hiba; mulasztás","faute f."
"sajtóhiba","faute de frappe f."
"hamis","faux, fausse"
"jóindulatú; kegyes; elõnyös","favorable"
"megtermékenyít","féconder"
"tündér","fée f."
"gratulál","féliciter"
"macskaszerû","félin, -e"
"nõi; nõnemû","féminin, -e"
"nõ; feleség","femme f."
"üzletasszony","femme d´affaires f."
"háztartásbeli","femme au foyer f."
"takarítónõ","femme de ménage f."
"hasít; átvág","fendre"
"ablak","fenêtre f."
"feudális","féodal, -e"
"vasaló","fer à repasser m."
"bádog","fer-blanc m."
"zár; bezár; csuk; becsuk","fermer"
"cipzár","fermeture éclair f."
"tanya; parasztház","ferme f."
"zárva","fermé, -e"
"szilárd; erõteljes; magabiztos","ferme"
"paraszt(asszony)","fermier, -ière"
"karddal vív; összevissza csapkod","ferrailler"
"elfenekelés","fessée f."
"farpofa","fesse f."
"lakoma","festin m."
"ünnep; ünnepség; névnap","fête f."
"tûz","feu m."
"levél","feuille f."
"cikksor; folytatásos regényrész","feuilleton m."
"február","février m."
"megbízhatóság","fiabilité f."
"megbízható","fiable"
"rost","fibre f."
"madzag; zsineg; spárga","ficelle f."
"csinál; tesz; dob","ficher"
"ûrlap; címke; cövek","fiche f."
"fájl","fichier m."
"kidobott; hitvány","fichu"
"hûséges; becsületes","fidèle"
"büszke; gõgös","fier, fière"
"láz","fièvre f."
"arc; ábra","figure f."
"cérna","fil m."
"fon; szõ; megy","filer"
"háló; csomagtartó","filet m."
"lány; lánya vkinek","fille f."
"film","film m."
"krimi","film policier m."
"filmez","filmer"
"fia vkinek","fils m."
"befejez","finir"
"Finnország","Finlande f."
"reszket a lába","flageoler"
"lángoló","flamboyant, -e"
"láng","flamme f."
"kószál; csatangol","flâner"
"pocsolya","flaque d´eau f."
"simogat; cirógat; hízeleg","flatter"
"csép; hadaró; ostor","fléau m."
"virágbolt","fleuriste m."
"virág","fleur f."
"folyam","fleuve m."
"rendõr; zsaru","flic m."
"sodródik; úszik","flotter"
"flotta; esõ; víz","flotte f."
"homályos","flou, -e"
"hit; kötelességtudat","foi f."
"máj","foie m."
"libamáj","foie gras m."
"széna","foin m."
"vásár","foire f."
"-szor; -szer; -ször","fois"
"õrület; bolondság","folie f."
"sötét","foncé, -e"
"mûködik","fonctionner"
"funkció; mûködés; függvény","fonction f."
"fenék; alj; maradék","fond m."
"megalapítás","fondation f."
"alapít","fonder"
"olvad","fondre"
"erõ","force f."
"fúró","foret m."
"erdõ","forêt f."
"kovácsol; készít","forger"
"vasgyár; huta; kohó","forge f."
"kialakulás; alakítás; képzés; képzettség","formation f."
"alak","forme f."
"formanyomtatvány","formulaire m."
"erõd","fort m."
"erõs","fort, -e"
"gödör; verem; akna","fosse f."
"játékos","fou-fou"
"villám","foudre f."
"ás; feltúr; motoz","fouiller"
"szemtelenül kutat; szaglászik","fouiner"
"selyemsál","foulard m."
"tömeg","foule f."
"kificamít","fouler"
"sütõ","four m."
"mikrohullámú sütõ","four à micro-ondes m."
"vasvilla","fourche f."
"villa","fourchette f."
"szállít; ellát vmivel","fournir"
"szállító","fournisseur m."
"szõrzet","fourrure f."
"tûzhely; otthon","foyer m."
"törtszám","fraction f."
"betör; bezúz","fracturer"
"törékenység; esendõség","fragilité f."
"töredék; részlet","fragment m."
"kellemes illat","fragrance f."
"friss","frais, fraîche"
"eper","fraise f."
"költség; kiadások","frais m. tb."
"málna","framboise f."
"francia","français, -e"
"Franciaország","France f."
"õszintén","franchement"
"õszinteség; szabadság; mentesség","franchise f."
"mentes; szabad; õszinte; egyenes","franc, franche"
"átlép; átmegy; leküzd; legyõz","franchir"
"frufru","frange f."
"üt; ver; kopogtat","frapper"
"csalás; csempèszès","fraude f."
"zabla; fék","frein m."
"lódarázs","frelon m."
"látogat; eljár","fréquenter"
"fiútestvér; fivér","frère m."
"hûtõszekrény","frigidaire m."
"hûvös; hideg; fázós","frileux, -euse"
"süt","frire"
"fritõz","friteuse f."
"könnyelmû; léha","frivole"
"hideg","froid, -e"
"horzsolás; sértõdés","froissement m."
"sajt","fromage m."
"homlok; arc","front m."
"határ","frontière f."
"dörzsöl","frotter"
"gyümölcs","fruit m."
"tengeri kagyló és rák","fruits de mer m."
"frusztrált","frustré, -e"
"menekül","fuir"
"füst","fumée f."
"halottas; temetési; gyászos","funèbre"
"temetés","funérailles f. pl."
"halálos; végzetes; komor","funeste"
"örjöngõ; mérges; féktelen","furieux, -euse"
"puska; vadász","fusil m."
"csáklya; baklövés","gaffe f."
"gyõz","gagner"
"vidám; jókedvû","gai, -e"
"vígság; jókedv","gaieté"
"vidám; jókedvû","gaillard, -e"
"nyerés; elõny; siker; nyereség","gain m."
"gála","gala m."
"Tejút","galaxie f."
"képtár","galerie f."
"lepény; sütemény; pénz","galette f."
"spanyol vitorlás","galion m."
"pajkos; csintalan; kölyök","gamin, -e"
"kesztyû","gant m."
"garázs","garage m."
"fiú; pincér","garçon m."
"megõriz","garder"
"õrség; felügyelet","garde f."
"õr(szem); gárdista","garde m."
"ruhásszekrény","garde-robe f."
"õr","gardien m."
"kapus","gardien de but m."
"pályaudvar","gare f."
"parkol","garer"
"helyõrség","garnison m."
"pazarlás","gaspillage m."
"torta; sütemény","gâteau m."
"elront; megront; elkényeztet","gâter"
"agylágyulás","gâtisme m."
"bal","gauche"
"gall","gaulois, -e"
"utcagyerek","gavroche m."
"gáz","gaz m."
"fagy","gel m."
"fagyott","gelé, -e"
"nyög; zúg; csikorog","gémir"
"kínoz; bánt; akadályoz","gêner"
"nagylelkû","généreux, -euse"
"térd","genou m."
"nem; -féle","genre m."
"nyájas","gentil, -le"
"földrajz","géographie f."
"muskátli","géranium m."
"kéve; csomó","gerbe f."
"igazgat; vezet; kezel","gérer"
"csíra","germe m."
"csírázik","germer"
"igazgatás; kezelés; vezetés","gestion f."
"pofon","gifle f."
"báránycomb","gigot d´agneau m."
"mellény","gilet m."
"zsiráf","girafe f."
"szélkakas","girouette f."
"jégkrém; tükör","glace f."
"jégcsap","glaçon m."
"elcsúszik","glisser"
"gömb; golyó","globe m."
"dicsõség","gloire f."
"dicsekvés","gloriole f."
"hirtelen lenyel; elkap","gober"
"bekapja a legyet; gyanútlanul elhisz","gober le morceau"
"radír","gomme f."
"felfúj; felduzzaszt; megtölt","gonfler"
"gorilla","gorille m."
"íz; ízlelés","goût m."
"kóstol","goûter"
"esõcsepp","goutte de pluie f."
"kormány","gouvernement m."
"kegy(elem); hála","grâce"
"köszönhetõen vkinek; vminek","grâce à q, à qc"
"mag; szem","grain f."
